id;documento
1;Mais uma vez, o Sr. Costner arrumou um filme por muito mais tempo do que o necessário. Além das terríveis seqüências de resgate no mar, das quais há muito poucas, eu simplesmente não me importei com nenhum dos personagens. A maioria de nós tem fantasmas no armário, e o personagem Costers é realizado logo no início, e depois esquecido até muito mais tarde, quando eu não me importava. O personagem com o qual deveríamos nos importar é muito arrogante e superconfiante, Ashton Kutcher. O problema é que ele sai como um garoto que pensa que é melhor do que qualquer outra pessoa ao seu redor e não mostra sinais de um armário desordenado. Seu único obstáculo parece estar vencendo Costner. Finalmente, quando estamos bem além do meio do caminho, Costner nos conta sobre os fantasmas dos Kutchers. Somos informados de por que Kutcher é levado a ser o melhor sem pressentimentos ou presságios anteriores. Nenhuma mágica aqui, era tudo que eu podia fazer para não desligar uma hora.
2;Este é um exemplo do motivo pelo qual a maioria dos filmes de ação são os mesmos. Genérico e chato, não há nada que valha a pena assistir aqui. Um completo desperdício dos talentos de Ice-T e Cubo de Gelo que foram mal aproveitados, cada um comprovando que são capazes de atuar e agir bem. Não se incomode com este, vá ver New Jack City, Ricochet ou assistir New York Undercover para Ice-T, ou Boyz no Hood, Higher Learning ou Friday for Ice Cube e ver o negócio real. Ice-Ts horrivelmente clichê diálogo sozinho faz este filme ralar os dentes, e eu ainda estou me perguntando o que diabos Bill Paxton estava fazendo neste filme? E por que diabos ele sempre interpreta exatamente o mesmo personagem? Dos extraterrestres em diante, todos os filmes que eu vi com Bill Paxton o fizeram interpretar exatamente o mesmo personagem irritante, e pelo menos em Aliens seu personagem morreu, o que o tornou um pouco gratificante ... No geral, esse é lixo de ação de segunda classe. Existem incontáveis ​​filmes melhores para ver, e se você realmente quiser ver esse filme, assista a Judgment Night, que é praticamente uma cópia carbono, mas tem melhor atuação e um roteiro melhor. A única coisa que fez isso valer a pena assistir foi uma mão decente na câmera - a cinematografia era quase refrescante, o que chega perto de compensar o horrível filme em si - mas não é bem assim. 4/10
3;"Primeiro de tudo eu odeio esses raps imbecis, que não poderiam agir se tivessem uma arma pressionada contra suas testas. Tudo o que eles fazem é amaldiçoar e atirar um no outro e agir como uma versão clichê de gangsters. O filme não leva mais de cinco minutos para explicar o que está acontecendo antes que já estivessem no armazém. Não há um único personagem simpático nesse filme, com exceção do sem-teto, que também é o único com metade do cérebro. William Paxton e William Sadler são ambos ""hill billies"" e Sadler é tão vilão quanto os gângsteres. Eu não gostava dele desde o começo. O filme está cheio de violência sem sentido e especialidade de Walter Hills: pessoas caindo de janelas com vidros voando por toda parte. Não há praticamente nenhum enredo e é um grande problema quando você torce por ninguém. Todo mundo morre, exceto Paxton e o sem-teto e todos recebem o que merecem. Os dois únicos negros que podem atuar são o sem-teto e o viciado, mas são atores de profissão, não irritantes rappers feios. Fique longe dessa porcaria. e observe 48 horas 1 e 2 em vez disso. No mínimo, eles têm personagens de que você gosta, senso de humor e nada além de atores reais no elenco."
4;Nem mesmo os Beatles puderam escrever músicas que todos gostassem, e embora Walter Hill não seja um mop-top, ele é incomparável quando se trata de filmes de ação instigantes. Os anos noventa chegaram e as plataformas sociais estavam mudando em música e cinema, o surgimento da estrela de cinema do Rapper estava em pleno andamento, a atuação ficou em segundo plano para cada homem dominar o sotaque regional e a atuação transparente. Este foi um dos muitos filmes de ice-t que eu vi quando criança e amei, só para assisti-los mais tarde e me encolher. Bill Paxton e William Sadler são bombeiros com vidas básicas até que um inquilino em chamas prestes a pegar fogo com um mapa com implicações douradas. Eu entrego a Walter para rapidamente e ordenadamente configurar os personagens principais e localização. Mas eu culpo todos os envolvidos por produzir performances do Lame-o. O gelo e o cubo devem ter ficado muito quentes neste momento, e embora eu tenha gostado de suas carreiras como rappers, na minha opinião, eles ficaram insatisfeitos com esse filme. São cerca de noventa minutos de um cara ridiculamente virando as costas para o outro cara até o ponto em que você se encontra bloqueado em múltiplos estados de descrença. Agora este é um filme, não é um documentário, então eu não vou perder meu tempo recontando todas as reviravoltas estúpidas neste filme, mas havia muitos, e eles não levaram a lugar nenhum. Eu tenho a sensação de ver isso que todo mundo no set era sordeto de confuso e apenas jogando as coisas fora do punho. Há duas coisas que eu ainda gosto, uma envolve uma cena com uma agulha e a outra é uma enorme pistola 45 Sadlers. Bottom line este filme é como pizza de dominó. Sim, eu comeria se estivesse com fome e eu não estivesse com vontade de cozinhar, mas eu estou bem ciente que tem gosto de porcaria. 3 estrelas, meh.
5;Filmes de fotos de latão não é uma palavra apropriada para eles, na verdade, são um tanto ousados. Suas qualidades visuais atraentes são reminiscentes de comerciais de TV caros de alta classe. Mas, infelizmente, as imagens de Brass são longas-metragens com o pretexto de querer entreter os telespectadores durante mais de duas horas! Nisto eles falham miseravelmente, suas qualidades eróticas inegáveis, mas bastante suaves e flácidas que vaporosas, não resistentes.Senso 45 é um remake de um filme de Luchino Visconti com o mesmo título e Alida Valli e Farley Granger na liderança. O original conta uma história de amor sem sentido e luxúria em Veneza e arredores durante as guerras italianas de independência. Brass moveu a ação do século 19 para o século 20, em 1945, para ser exato, então há murais de Mussolini, homens de camisa preta, uniformes alemães ou o traje esfarrapado dos partidários. Mas é apenas fachada, o contexto histórico é completamente insignificante. Anna Galiena interpreta a atraente mulher aristocrática que se apaixona pelo cara amoral da SS que sempre usa muito batom. Ela é uma atriz italiana atraente, versátil e bem treinada e claramente acima do material. Sua ampla gama de expressões faciais sinalizando tédio, aversão, prazer, medo, ódio ... e êxtase são a melhor razão para assistir a esta foto e vale duas estrelas. Ela suporta este material basicamente inútil com uma quantidade impressionante de dignidade. Desejo que algumas partes realmente boas apareçam para ela. Ela realmente merece isso.
6;"Uma coisa engraçada aconteceu comigo enquanto assistia ""Mosquito"": por um lado, o herói é surdo-mudo e o diretor é totalmente incapaz de nos fazer entender por que ele faz o que ele faz com manequins mutilantes ... er, desculpe-me, cadáveres através de suas imagens. Por outro lado, a versão em inglês, pelo menos, é muito mal dublada. Então eu me encontrei desejando que houvesse tanto mais E menos diálogo ao mesmo tempo! Este filme é estúpido como esse cara tem acesso a todos os cemitérios e necrotérios de sua cidade, e onde é que estaríamos em um explorador dos anos 70 sem a nossa cena lésbica gratuita ?. Sem mencionar o aspecto ""romântico"", oh, que doce!"
7;Este filme de terror alemão tem que ser um dos mais estranhos que eu já vi. Eu não estava ciente de qualquer conexão entre abuso infantil e vampirismo, mas isso é supostamente baseado em um verdadeiro personagem. Nosso herói é surdo e mudo como resultado de espancamentos repetidos. nas mãos de seu pai. ele também tem um fetiche de bonecas, mas não consigo descobrir de onde veio isso. Seus colegas de trabalho descobrem e provocam-no terrivelmente.Durante o dia um contador de maneira suave, e à noite ele invade cemitérios e funerárias e bebe o sangue de garotas mortas. Eles são todos atraentes, é claro, senão não nos importamos com o fato de que ele geralmente rasga suas roupas até a cintura. Ele se forma eventualmente para matar, e é isso que o faz ser pego. Como eu disse, um filme muito estranho que é sombrio e muito lento, já que Werner Pochath nunca fala e apenas gasta seu tempo bebendo sangue.
8;"Sendo um fã de longa data do cinema japonês, eu esperava mais do que isso. Eu realmente não posso ser incomodado para escrever muito, como este filme é tão pobre. A história pode ser a coisa mais fofa e romântica de todos os tempos, pena que eu não poderia suportar a atuação horrível, a bagunça que eles chamavam de ritmo, e a história japonesa ""peculiar"". Se você notou quantos filmes japoneses usam personagens, gráficos e reviravoltas que parecem muito ""diferentes"", forçosamente, então evite esse filme. Sério, um garoto de 12 anos poderia ter dito a você como esse filme iria continuar, e isso não é uma coisa boa no meu livro. Fãs de ""Beat"" Takeshi: sua parte neste filme não é mais do que uma aparição, e a menos que você seja um fã fanático, você não precisa sofrer com esse desperdício de filme.2 / 10"
9;"""Tokyo Eyes"" fala de uma menina japonesa de 17 anos que cai como um homem sendo caçado por seu irmão mais velho que é um policial. Este filme manco é de cerca de 50% de enchimento e 50% de conversas, conversas e mais conversas. Você verá o elenco estelar de menos de três pessoas enquanto eles conversam no ônibus, conversam e jogam videogames, conversam e cortam o cabelo, conversam e andam e andam e conversam, conversam no celular, passam o tempo conversando etc. enquanto você lê legendas esperando que algo aconteça. O fino fio de uma história não é suficiente para sustentar um filme com baixo valor de produção final, um elenco escasso, e sem ação, sem romance, sem sexo ou nudez, sem drama pesado ... apenas incessante yadayadayadaing. C-"
10;Fazendeiros ricos em Buenos Aires têm uma longa política de não-comércio com os Crawford de Manhattan, mas o que acontece quando o filho latino de bigode cai por um certo Crawford com olhos brilhantes, cabelos loiros e alguns movimentos alegres na pista de dança? O musical da 20th Century-Fox tem um verniz brilhante, mas parece um pouco ultrapassado nas bordas. É muito pesado na dança frenética, como ginástica, extremamente fina na história. Betty Grable, uma substituta de décima primeira hora de Alice Faye, dá um impulso, apesar de ela estar emparelhada com Don Ameche, de pele castanha e magricela. Também é bom: Charlotte Greenwood como Bettys tia, uma motorista de limusine que constantemente adormece no trabalho, e Carmen Miranda interpretando quem mais ?. As filmagens de ações da Argentina superam de longe a ação filmada no backlot da Fox, e algumas das performances de apoio são bastante terríveis. Até o final do grande final de corrida de cavalos, a maioria dos espectadores terá o suficiente. 1/2 de
